model,language,average_token_length
EleutherAI/gpt-neo-125m,de,2.831460674157303
EleutherAI/gpt-neo-125m,en,5.58955223880597
EleutherAI/gpt-neo-125m,ur,1.3961661341853036
EleutherAI/gpt-neo-125m,bg,1.706507304116866
EleutherAI/gpt-neo-125m,id,2.6844106463878328
EleutherAI/gpt-neo-125m,zh,1.39453125
EleutherAI/gpt-neo-125m,ar,1.9028662420382165
EleutherAI/gpt-neo-125m,ru,1.7157534246575343
bigscience/bloom-7b1,de,3.5
bigscience/bloom-7b1,en,5.8515625
bigscience/bloom-7b1,ur,7.47008547008547
bigscience/bloom-7b1,bg,3.768328445747801
bigscience/bloom-7b1,id,5.042857142857143
bigscience/bloom-7b1,zh,5.173913043478261
bigscience/bloom-7b1,ar,7.709677419354839
bigscience/bloom-7b1,ru,3.965699208443272
utter-project/EuroLLM-1.7B,de,4.264367816091954
utter-project/EuroLLM-1.7B,en,5.9523809523809526
utter-project/EuroLLM-1.7B,ur,3.0597826086956523
utter-project/EuroLLM-1.7B,bg,3.6528497409326426
utter-project/EuroLLM-1.7B,id,2.74031007751938
utter-project/EuroLLM-1.7B,zh,2.1808510638297873
utter-project/EuroLLM-1.7B,ar,3.0232558139534884
utter-project/EuroLLM-1.7B,ru,3.927536231884058
ai-forever/mGPT,de,4.295454545454546
ai-forever/mGPT,en,5.3120567375886525
ai-forever/mGPT,ur,5.296969696969697
ai-forever/mGPT,bg,6.032863849765258
ai-forever/mGPT,id,3.9887005649717513
ai-forever/mGPT,zh,3.6804123711340204
ai-forever/mGPT,ar,5.532407407407407
ai-forever/mGPT,ru,6.68
facebook/opt-125m,de,2.831460674157303
facebook/opt-125m,en,5.58955223880597
facebook/opt-125m,ur,1.3961661341853036
facebook/opt-125m,bg,1.706507304116866
facebook/opt-125m,id,2.6844106463878328
facebook/opt-125m,zh,1.39453125
facebook/opt-125m,ar,1.9028662420382165
facebook/opt-125m,ru,1.7157534246575343
facebook/opt-2.7b,de,2.831460674157303
facebook/opt-2.7b,en,5.58955223880597
facebook/opt-2.7b,ur,1.3961661341853036
facebook/opt-2.7b,bg,1.706507304116866
facebook/opt-2.7b,id,2.6844106463878328
facebook/opt-2.7b,zh,1.39453125
facebook/opt-2.7b,ar,1.9028662420382165
facebook/opt-2.7b,ru,1.7157534246575343
meta-llama/Llama-3.2-3B,de,3.5829383886255926
meta-llama/Llama-3.2-3B,en,5.897637795275591
meta-llama/Llama-3.2-3B,ur,3.18978102189781
meta-llama/Llama-3.2-3B,bg,4.540636042402827
meta-llama/Llama-3.2-3B,id,3.1517857142857144
meta-llama/Llama-3.2-3B,zh,4.103448275862069
meta-llama/Llama-3.2-3B,ar,5.195652173913044
meta-llama/Llama-3.2-3B,ru,6.036144578313253
gpt2,de,2.831460674157303
gpt2,en,5.58955223880597
gpt2,ur,1.3961661341853036
gpt2,bg,1.706507304116866
gpt2,id,2.6844106463878328
gpt2,zh,1.39453125
gpt2,ar,1.9028662420382165
gpt2,ru,1.7157534246575343
tiiuae/falcon-7b,de,3.6699029126213594
tiiuae/falcon-7b,en,5.8515625
tiiuae/falcon-7b,ur,1.4615384615384615
tiiuae/falcon-7b,bg,1.9922480620155039
tiiuae/falcon-7b,id,2.6946564885496183
tiiuae/falcon-7b,zh,2.4965034965034967
tiiuae/falcon-7b,ar,1.9274193548387097
tiiuae/falcon-7b,ru,1.8764044943820224
gpt2-xl,de,2.831460674157303
gpt2-xl,en,5.58955223880597
gpt2-xl,ur,1.3961661341853036
gpt2-xl,bg,1.706507304116866
gpt2-xl,id,2.6844106463878328
gpt2-xl,zh,1.39453125
gpt2-xl,ar,1.9028662420382165
gpt2-xl,ru,1.7157534246575343
